,title,genre_ids
2847,arthurandtheinvisi,"12,14,16,10751"
2861,arthurandthereveng,"12,14,16,10751"
6886,arthurchristmas,"18,16,10751,35"
6764,arthurmalediction,"27,53"
8120,arthurmerlinknight,"12,36,28"
4336,arthurtheking,"12,18"
9014,article15,"80,18,53"
2952,artificegirl,"878,53,9648"
3688,artificialparadise,18
2247,artist,"18,35,10749"
2189,artoflove,"10749,28,18"
5058,artofracinginthera,"18,10749"
8809,artofselfdefense,"35,53,18,9648"
6011,as,
4821,asabovesobelow,"27,53"
8160,asadas,"18,35"
5249,asakoiii,"18,10749"
557,ascendingbeyondsha,"99,12,10751"
1375,ascowithoutpermiss,99
5714,asdalmasinduenosin,53
3472,asgoodasitgets,"18,35,10749"
4188,ash,"27,878,53"
9546,asher,"53,28,18"
9874,ashesinthesnow,"18,10749"
4037,ashesoftime,"18,28"
7762,ashfall,"28,12,53"
9809,ashispurestwhite,"80,10749,18"
9106,ashladinsearchofth,"14,12"
8834,ashladinthehalloft,"12,14"
9113,asifitwerethefirst,35
5481,askmeanything,18
3512,askmeifimhappy,35
303,askmewhatyouwant,"10749,18"
7946,asphaltburning,"28,35"
4697,asphaltcity,"53,18"
5614,aspirantevedovo,35
8671,assassin33ad,878
3367,assassinationnatio,"53,27,35"
3718,assassinationofahi,"35,80"
5515,assassinationofjes,"18,37"
6371,assassinclub,"28,12,53"
2741,assassins,"28,12,80,53"
2651,assault,"18,28,53"
2829,assaultonprecinct1,"53,28,80"
5153,assaultonwallstree,"18,53,28"
1462,assembly,99
8555,assent,"27,53"
9158,assimilate,"27,53,878"
7894,assistant,18
6102,asterixandthebigfi,"10751,16,12,35"
5694,asterixattheolympi,"14,12,35,10751"
2056,asterixobelixgodsa,"10751,12,35"
1830,asterixobelixmissi,"10751,14,35,12"
2086,asterixobelixtakeo,"10751,12,35,14"
1891,asterixobelixthemi,"10751,35,12"
5954,asterixthegaul,"10751,16,12,35"
3507,asterixthemansions,"16,35,12,10751"
8755,asterixthesecretof,"10751,16,35,12"
1150,asteroidcity,"35,18"
5067,asthegodswill,"53,27,35"
1506,asthram,53
9057,astrokid,"16,35,12,10751"
1441,astronaut,"27,878,53"
3912,asylum,"18,53,10749"
3685,atanyprice,"18,53"
1242,ateam,"28,35,80"
9688,ateternitysgate,18
9753,atfirstlight,"53,878"
5919,atfirstsight,"18,10749"
